p1,p2,count
5,389,0.001925703972311873
5,371,0.00012906907299126244
5,375,0.00033353966806399734
5,243,0.00012906907299126244
5,621,5.162762919650498e-05
5,629,5.162762919650498e-05
5,525,2.581381459825249e-05
5,593,2.0286255821915977e-05
5,366,0.00026232893748190454
5,628,0.0001376821951352462
5,280,0.00018069670218776742
5,624,2.581381459825249e-05
5,136,5.162762919650498e-05
5,134,2.581381459825249e-05
5,406,2.581381459825249e-05
5,334,4.226452148920054e-05
5,384,2.581381459825249e-05
5,374,5.162762919650498e-05
5,276,5.162762919650498e-05
5,630,2.581381459825249e-05
5,14,2.581381459825249e-05
5,572,5.162762919650498e-05
5,568,7.887127432760014e-05
5,618,4.9380265563943935e-05
14,472,0.002478609850989328
14,550,0.028333400733607208
14,202,0.00139241192360997
14,166,0.001946218816667341
14,94,0.004873441732634895
14,580,0.004591661744940255
14,88,0.0018575817188270618
14,588,0.0076869589925634575
14,142,0.0037694891156000773
14,552,0.006545196151994831
14,554,0.0018293240904998123
14,248,0.00159105217953516
14,572,0.0016869593570706947
14,48,0.00288708220017587
14,22,0.0008556147061543155
14,32,0.0011487129684604283
14,60,0.000395837087336636
14,64,6.751029370865081e-05
14,78,6.30479407256672e-05
14,102,0.0002533973018226403
14,118,0.00033476467190324537
14,146,0.0004327095609926673
14,150,0.00025607324435853986
14,162,0.0003764567656420491
14,188,0.00011296446178047833
14,216,0.0009382090066283083
14,228,8.674850814371302e-05
14,240,0.00021458341117727885
14,258,0.0010365624913519604
14,260,0.0001895169103250857
14,278,0.0004907526725072765
14,280,0.00014955041140720572
14,308,0.00015939833777069737
14,318,0.00011541603306704725
14,334,1.6450706890948046e-05
14,368,0.001498493396861982
14,388,9.995665392174492e-05
14,426,0.00023845147719588923
14,428,0.0001897152275065632
14,448,0.00021200639633040826
14,450,6.435516418479251e-05
14,484,0.0003244799052792622
14,524,0.00030804942667165533
14,578,0.0007128546285631774
14,590,0.0002001870266729448
14,618,0.0013332671702264863
14,624,6.55205724209125e-05
14,630,0.0017440197869601224
14,243,0.022913773259453162
14,389,0.012855283314221453
14,249,0.0009464886069960094
14,551,0.004869820387285858
14,403,0.0025630343741402254
14,59,0.006923028269275716
14,523,0.0011659035092075989
14,513,0.002256039292166317
14,245,0.006276912862337973
14,225,0.0035076004781491392
14,129,0.000696205961804985
14,543,0.002339891172019065
14,119,0.0034958971754780015
14,549,0.004624633231628152
14,579,0.00437300688372866
14,609,0.000696205961804985
14,159,0.002572252160052476
14,293,0.0025170777538304732
14,479,0.002622667059254314
14,31,0.0076352151011688085
14,21,0.0007437201810810193
14,33,0.0005110227991581852
14,41,0.0004674212595780676
14,47,0.0005438857029327052
14,63,0.0005940961580632369
14,83,0.0008883507227608679
14,121,0.0006115452080985078
14,151,0.0004396037388005356
14,169,0.0008754508415505148
14,179,0.00039083222089047185
14,189,7.432257452438091e-05
14,221,0.0006107944250479012
14,263,0.000603592973708497
14,265,7.00208557539909e-05
14,299,0.000725269691712294
14,315,7.180183605092341e-05
14,341,0.0007152305589661384
14,357,0.0009529999481967401
14,359,6.851934110808725e-05
14,365,0.00014282389236121992
14,397,1.7507343367448173e-05
14,459,7.455996452911252e-05
14,469,0.00024076069599172648
14,471,0.00010148923661202703
14,493,0.0008492674593489692
14,517,0.0004645844817258982
14,541,7.111705301130339e-05
14,559,0.0006802850194755417
14,573,0.0012649949305639939
14,593,0.0005477289071917314
14,595,0.00017249775817619687
14,601,0.00031537177989559613
14,603,0.0005015847608305235
17,33,0.0019040029146146715
17,355,0.0021986093766000374
17,357,0.0015897893197114022
17,79,0.0003416515877963309
17,169,0.00021466118012891729
17,603,0.00010522982493510294
17,389,0.00010522982493510294
17,629,0.00021045964987020588
17,577,0.00031568947480530886
17,359,0.0003474983320863804
17,41,6.677446565400965e-05
17,47,2.7194285146635264e-05
17,143,0.00029440231255110775
17,199,5.4868429212217475e-05
17,471,3.382974553734234e-05
17,627,5.62165228529523e-05
17,34,0.0025905884607861397
17,228,0.000365475349366242
17,428,0.0006743755074547925
17,384,0.00010522982493510294
17,478,0.0002164509164178809
17,30,0.00013631848439997246
17,108,5.5306170513650314e-05
17,146,6.657070169117959e-05
17,456,0.0005508060626991418
17,608,7.277338585895743e-05
21,59,1.906974823284665e-05
21,513,3.81394964656933e-05
21,551,1.906974823284665e-05
21,245,3.81394964656933e-05
21,573,5.720924469853995e-05
21,243,1.906974823284665e-05
21,293,0.00012830390127497197
21,579,1.906974823284665e-05
21,41,0.00024321515706641073
21,31,0.00032418571995839303
21,47,0.0002804048746821609
21,469,0.0001244311321297319
21,33,3.81394964656933e-05
21,159,1.906974823284665e-05
21,357,6.648836847884233e-05
21,403,0.00019510374175504253
21,493,2.2349143667078138e-05
21,559,1.5461023169898674e-05
21,94,3.81394964656933e-05
21,580,1.906974823284665e-05
21,88,1.906974823284665e-05
21,588,5.720924469853995e-05
21,550,7.62789929313866e-05
21,572,0.00013721483599226424
21,524,3.81394964656933e-05
21,484,3.7439989070684104e-05
21,552,0.00020890957248749395
22,30,0.0003869767308986471
22,208,0.0004782262330479913
22,608,0.0007104083632562792
22,78,0.00031881748869866085
22,260,0.00015940874434933043
22,446,6.934071075852915e-05
22,634,0.00019242990581845771
22,31,0.00015940874434933043
22,359,0.000980231682937758
22,199,5.4868429212217475e-05
22,357,4.432557898589489e-05
22,525,0.0003311191503852675
22,609,0.00020885354545820538
30,34,6.815924219998623e-05
30,478,6.815924219998623e-05
30,456,0.000616199242349502
30,608,0.00028186525611788733
30,78,6.30479407256672e-05
30,146,6.657070169117959e-05
30,374,7.456529149890863e-05
30,31,0.0002044777265999587
30,359,0.002594012291588588
30,357,9.032203169293367e-05
30,355,0.0011705345524629853
30,577,6.815924219998623e-05
30,33,0.00013631848439997246
30,143,0.0007932823517021742
30,627,0.0002044777265999587
30,423,0.0005804194625096513
30,199,0.00023276452983663864
30,525,0.00016555957519263375
31,603,0.00273514894064296
31,243,0.0025458747700263934
31,389,0.004875417870997947
31,63,0.0006926847735215121
31,33,0.003912365012313335
31,245,0.00019781834724494682
31,371,0.00019781834724494682
31,543,0.0019934680805130944
31,47,0.0004969554838579347
31,357,0.0007740508740615804
31,41,0.0005008084924050724
31,83,2.9611690758695592e-05
31,169,0.0004377254207752574
31,221,2.776338295672278e-05
31,293,5.2024908343585375e-05
31,315,7.180183605092341e-05
31,355,0.00010421010247718258
31,469,0.0006741299487768341
31,493,0.00015644400566954697
31,541,7.111705301130339e-05
31,573,0.0002270503721525117
31,593,8.114502328766391e-05
31,601,5.484726606879933e-05
31,550,0.00039563669448989364
31,554,0.0007733427373881694
31,48,0.003734933948406082
31,142,0.0005934550417348404
31,280,0.0005451871058970994
31,630,0.0005853782999027518
31,260,0.00019781834724494682
31,32,0.00028717824211510706
31,146,0.0003328535084558979
31,216,0.0002010447871346375
31,304,0.00037077052758690936
31,334,6.580282756379218e-05
31,426,0.0001907611817567114
31,450,3.217758209239626e-05
31,472,0.0003073110153766109
31,484,0.00021215993806720991
31,524,7.701235666791383e-05
31,532,6.056872248562893e-05
31,578,0.0003888297973980967
31,586,0.00018412747648720095
31,624,9.828085863136877e-05
31,628,0.00012908184890811182
32,94,3.190869356834523e-05
32,150,3.190869356834523e-05
32,588,0.0001914521614100714
32,550,0.00015954346784172616
32,618,0.0002860285821744381
32,142,0.0004987804767895806
32,578,9.671365980136135e-05
32,48,0.00011497463665891534
32,118,8.369116797581134e-05
32,240,0.00011704549700578847
32,334,1.6450706890948046e-05
32,368,0.0001498493396861982
32,624,3.276028621045625e-05
32,551,3.190869356834523e-05
32,403,0.00012763477427338093
32,225,3.190869356834523e-05
32,243,0.0006412074638751355
32,389,0.0003649196761667755
32,493,0.0001627735117062701
32,293,3.190869356834523e-05
32,159,3.190869356834523e-05
32,543,0.00022818590815809844
32,237,3.927502943126473e-05
32,357,8.865115797178979e-05
33,603,0.0012761225398125466
33,357,0.0017382162449815397
