p1,p2,count
151,517,2
151,264,1
151,142,1
151,573,4
151,341,5
151,549,3
156,94,1
156,550,5
156,129,2
156,580,3
159,14,11
159,94,4
159,299,9
159,441,1
159,150,1
159,264,1
159,609,1
159,550,1
159,293,6
159,579,2
159,479,1
162,121,5
162,14,2
162,551,1
162,572,1
166,94,6
166,202,5
166,550,3
166,551,2
166,244,1
166,169,4
166,14,1
169,166,2
169,14,8
169,31,4
169,33,3
169,34,7
169,94,1
169,17,1
169,357,6
169,393,1
179,368,3
179,14,3
179,551,1
179,94,1
179,389,2
179,513,1
179,47,1
179,426,2
186,260,17
186,92,2
186,208,8
186,608,1
186,78,3
186,359,1
188,243,13
188,479,7
188,245,3
188,248,1
188,14,2
188,389,1
188,573,3
188,142,3
188,572,2
188,293,3
188,630,1
188,260,1
188,65,1
188,601,1
189,245,14
189,377,12
189,389,15
189,551,4
189,550,2
189,368,10
189,263,1
189,618,1
189,397,1
189,14,1
189,118,7
189,240,6
199,355,6
199,359,13
199,627,4
199,30,3
199,608,4
199,22,1
199,374,1
199,146,11
199,17,1
202,166,3
202,244,1
207,243,7
207,260,9
207,630,19
207,108,11
207,92,2
207,591,2
207,33,2
207,208,3
207,146,1
207,65,4
207,608,6
207,359,1
208,630,21
208,207,4
208,108,14
208,186,13
208,260,19
208,78,21
208,608,39
208,359,5
208,146,12
208,573,1
208,471,3
208,237,8
208,355,1
208,591,8
208,423,3
208,627,2
208,92,1
208,634,2
208,636,2
208,100,1
208,65,5
208,601,2
216,552,3
216,14,14
216,397,2
216,243,2
216,550,5
216,245,1
216,513,1
216,549,2
216,603,1
216,31,3
216,389,1
221,14,22
221,550,3
221,389,4
221,551,1
221,403,1
221,552,1
221,549,4
221,559,3
221,119,1
221,245,1
221,243,7
221,472,3
221,543,1
221,578,5
221,31,1
221,65,1
225,94,11
225,150,22
225,577,3
225,403,2
225,14,4
225,479,1
225,441,6
225,245,1
225,551,1
225,299,5
225,159,2
225,264,2
225,523,4
225,88,1
225,493,1
225,590,1
228,579,1
228,14,1
228,34,13
228,33,2
228,17,3
228,478,1
228,79,1
228,357,9
237,142,11
237,243,12
237,389,6
237,630,5
237,591,1
237,208,7
237,260,1
237,636,1
237,32,1
237,493,1
237,304,2
237,357,4
237,450,2
240,389,47
240,189,9
240,243,7
240,14,11
240,368,2
240,118,27
240,591,1
240,248,1
240,245,1
240,278,1
240,618,8
240,32,6
240,142,1
240,578,2
240,629,1
240,568,1
240,65,1
240,559,2
240,41,1
243,14,69
243,31,6
243,389,25
243,264,1
243,129,5
243,142,16
243,572,11
243,94,2
243,550,19
243,552,1
243,403,9
243,551,11
243,245,12
243,580,1
243,308,1
243,60,1
243,63,1
243,216,1
243,121,2
243,578,1
243,472,2
243,88,3
243,388,1
243,249,1
243,32,3
243,543,1
243,630,13
243,318,3
243,248,2
243,258,4
243,278,5
243,493,3
243,559,1
243,618,3
243,365,1
243,270,21
243,579,5
243,102,7
243,601,3
243,304,4
243,263,1
243,293,4
243,240,1
243,118,1
243,357,1
243,479,10
243,573,10
243,64,1
243,188,4
243,146,1
243,260,4
243,450,1
243,494,1
