name,score
14,0.0884181571492331
243,0.05218026623695268
389,0.04909130667614727
550,0.04233949955866592
94,0.034013238806385813
551,0.022915044541305395
31,0.01800146959929016
630,0.017827757822259028
377,0.017796656325491204
245,0.01626695594654864
357,0.01473825501281005
359,0.012607558763888055
142,0.012446796772870123
166,0.012183751647262158
368,0.012137796514582053
225,0.012106508568064086
33,0.010901819715374619
208,0.01084204715100404
293,0.01035295676037349
608,0.010261047406112998
441,0.00967515747160745
552,0.009192021189449734
260,0.009159983999045808
34,0.009069112618244925
129,0.008569486316973764
355,0.008545228403128971
150,0.008450417063831815
270,0.008086015315248616
549,0.007861647573260912
572,0.007579263473782677
375,0.007412059071386641
78,0.007376609064903062
384,0.007219947521802018
579,0.006677444764301598
479,0.006642969301549411
629,0.006614351310861201
369,0.006585229831429091
159,0.006480886866673151
17,0.006313789496106176
588,0.006308893775307798
618,0.006098462797147076
403,0.006048215994406319
280,0.00601192653856967
374,0.005816092736914873
258,0.005627053524482071
189,0.005499870514804187
391,0.0053938230494661454
143,0.00529924162591994
380,0.005234159055035836
248,0.005219936270092688
202,0.005071595321737466
580,0.0050060877190506
573,0.00493023665245454
627,0.004834620965353898
577,0.004784063392660783
366,0.004727626195265141
59,0.004720455031201084
543,0.004684502849110128
456,0.0044064485015931345
48,0.0042540615563798675
30,0.004225873016399147
244,0.004173883385070234
628,0.004087591882090208
128,0.004004121667828017
299,0.003988983304417617
108,0.003982044276982823
593,0.003854388606164036
169,0.0036112347213958732
65,0.0035440115737145773
523,0.003475761850779342
472,0.0034418833722180417
603,0.0034339264395320456
554,0.0033993543860844815
146,0.003361820435404569
371,0.003360909058755349
119,0.0032836516768137754
278,0.003281908497392412
156,0.0031040680448496316
265,0.0030809176531755994
88,0.0030486113621829517
207,0.0030151009613510246
565,0.0029530425064466554
586,0.0029460396237952153
47,0.0029097885106899733
32,0.002903691114719416
634,0.002886448587276866
186,0.0028765622126231283
22,0.0028693573982879477
428,0.002845728412598448
264,0.0028178262476883853
525,0.0028145127782747735
450,0.0027994496420384743
493,0.002793642958384767
268,0.0027703009456624874
636,0.002732865894117299
578,0.002721808581786677
118,0.0027199629592138683
609,0.00271509609095667
386,0.0026923135445984098
228,0.0026892037524551037
304,0.002669547798625747
478,0.0026693061955866716
240,0.00253598576845875
102,0.002494988817945997
334,0.002467606033642207
341,0.0024522190593124745
41,0.0024372679963713525
199,0.002414210885337569
134,0.0023924796338396065
276,0.0023782652808497793
513,0.0023736594157672437
188,0.002372253697390045
406,0.0023703787255933803
601,0.002358432440958371
5,0.0023490571284409765
216,0.0023455225165707706
121,0.0022932945303694046
532,0.0022410427319682702
559,0.002226387336465409
471,0.00216510371438991
84,0.002137070341628306
237,0.0021208515892882957
541,0.002119288179736841
263,0.0021125754079797396
388,0.0020990897323566434
426,0.0020983729993238253
365,0.0020947504212978922
63,0.002029828540049393
151,0.002028940332925549
21,0.002021393312681745
322,0.002012669930207415
249,0.0020022611615281953
100,0.001992553057715602
459,0.0019758390600214818
92,0.001966688863972419
621,0.0018927909954030452
79,0.0018913741028898238
624,0.0018673363139960065
179,0.0018238836974888688
136,0.0018234355779311027
393,0.0018088194141742463
448,0.0018020543688084703
298,0.0017951679264011906
423,0.0017929107710838279
591,0.001791164464421967
318,0.0017889485125392325
308,0.0017852613830318105
397,0.0017507343367448172
130,0.001742230930847022
446,0.0017335177689632288
315,0.001723244065222162
484,0.001709759500894574
524,0.0016942718466941042
162,0.001694055445389221
221,0.001638039594446644
424,0.001627228011958088
64,0.0016202470490076196
590,0.0016014962133835584
517,0.0015486149390863274
469,0.0015408684543470495
60,0.0015268001940127388
568,0.0014985542122244028
527,0.0014598881452826105
494,0.001426825093524119
595,0.0014144816170448143
83,0.0013917494656586929
